run,step,quality,metric,mean,std,n
ckpt400,150,failure,mae,0.2730995210673427,0.15379537932616805,10
ckpt400,200,success,spearman,0.7037597330367075,0.12263692386676299,10
ckpt400,200,success,mae,0.19596625314637398,0.044252034466184274,10
ckpt400,200,failure,spearman,0.45153288417252685,0.5175639176345848,10
ckpt400,200,failure,mae,0.27076929904365293,0.16600364400858403,10
ckpt400,250,success,spearman,0.7289877641824251,0.13539649158277736,10
ckpt400,250,success,mae,0.20862785919879875,0.05366808312529393,10
ckpt400,250,failure,spearman,0.4856522458749136,0.4453226717467849,10
ckpt400,250,failure,mae,0.31825878937418256,0.16956909933326314,10
ckpt400,300,success,spearman,0.8031590656284759,0.12320920748495627,10
ckpt400,300,success,mae,0.1993259335309267,0.05367142845100852,10
ckpt400,300,failure,spearman,0.5125646690193434,0.43703392491653714,10
ckpt400,300,failure,mae,0.3264327367550383,0.17152239551793177,10
ckpt400,350,success,spearman,0.8216685205784204,0.13263249368973598,10
ckpt400,350,success,mae,0.18260001071030274,0.04999149592158118,10
ckpt400,350,failure,spearman,0.5285567718295191,0.5003754710968481,10
ckpt400,350,failure,mae,0.2980865136386516,0.18210149927494235,10
ckpt400,400,success,spearman,0.809877641824249,0.13253532553515152,10
ckpt400,400,success,mae,0.18292271960837145,0.047375246379142325,10
ckpt400,400,failure,spearman,0.49739055440018165,0.5252608321902577,10
ckpt400,400,failure,mae,0.3005545945248256,0.16907937646293175,10
ckpt400,450,success,spearman,0.7410901001112348,0.16229151269286,10
ckpt400,450,success,mae,0.21255851409087576,0.07171644205307845,10
ckpt400,450,failure,spearman,0.4538715704907731,0.5105986094271558,10
ckpt400,450,failure,mae,0.3536903985993316,0.17208849646930385,10
ckpt400,500,success,spearman,0.6482313681868743,0.17949939385115468,10
